Woche;afg_2021_world
2021-06-13;3
2021-06-20;3
2021-06-27;3
2021-07-04;4
2021-07-11;4
2021-07-18;4
2021-07-25;4
2021-08-01;4
2021-08-08;10
2021-08-15;100
2021-08-22;36
2021-08-29;22
2021-09-05;11
2021-09-12;7
2021-09-19;5
2021-09-26;4
2021-10-03;4
2021-10-10;4
2021-10-17;4
2021-10-24;5
2021-10-31;19
2021-11-07;4
2021-11-14;4
2021-11-21;3
2021-11-28;3
2021-12-05;3
2021-12-12;3
2021-12-19;3
2021-12-26;3
2022-01-02;3
2022-01-09;3
2022-01-16;3
2022-01-23;3
2022-01-30;3
2022-02-06;3
2022-02-13;3
2022-02-20;4
2022-02-27;4
2022-03-06;3
2022-03-13;3
2022-03-20;3
2022-03-27;3
2022-04-03;3
2022-04-10;3
2022-04-17;3
2022-04-24;3
2022-05-01;3
2022-05-08;3
2022-05-15;3
2022-05-22;3
2022-05-29;3
2022-06-05;3
