Woche;ukr_2022_germany
2021-06-13;2
2021-06-20;1
2021-06-27;4
2021-07-04;1
2021-07-11;0
2021-07-18;0
2021-07-25;0
2021-08-01;0
2021-08-08;0
2021-08-15;0
2021-08-22;0
2021-08-29;0
2021-09-05;0
2021-09-12;0
2021-09-19;0
2021-09-26;0
2021-10-03;0
2021-10-10;0
2021-10-17;0
2021-10-24;0
2021-10-31;0
2021-11-07;0
2021-11-14;0
2021-11-21;0
2021-11-28;1
2021-12-05;1
2021-12-12;1
2021-12-19;1
2021-12-26;1
2022-01-02;0
2022-01-09;1
2022-01-16;2
2022-01-23;3
2022-01-30;2
2022-02-06;4
2022-02-13;11
2022-02-20;77
2022-02-27;100
2022-03-06;54
2022-03-13;38
2022-03-20;29
2022-03-27;21
2022-04-03;20
2022-04-10;19
2022-04-17;19
2022-04-24;17
2022-05-01;16
2022-05-08;16
2022-05-15;13
2022-05-22;11
2022-05-29;10
2022-06-05;10
