year,country_name,gdp_growth,gdp_usd,military_spendings_growth,military_spendings_usd,energy_use,gni_growth,gni_usd,national_income_growth,national_income_usd
1966,France,5.25,110045852177.93,4.29,4548130770.45,2122.92,,110738073086.64,,
1966,Italy,5.98,73654870011.28,2.99,1904604598.71,1431.07,,74005443913.32,,
1966,Japan,10.64,105628070343.11,0.88,932430555.56,1491.03,,104942627862.76,,
1966,Canada,6.70,61088384036.65,2.68,1614422827.02,5272.66,,,,
1966,Russian Federation,,,,,,,,,
1966,United States,6.50,815000000000.00,8.44,66442751527.32,6591.34,,820100000000.00,,
1966,United Kingdom,1.57,108572752102.05,6.25,6692138864.60,3306.78,,,,
1966,Brazil,6.70,28283323733.11,3.02,718216574.56,,,25823978009.92,,
1966,India,-0.06,45865462033.91,3.57,1661154906.41,,-0.19,45536890605.34,,
1966,Mexico,6.10,24320000000.00,0.58,130400000.00,,5.69,23566704000.00,,
1966,South Africa,4.44,12354995063.19,2.70,324449870.22,,4.55,11920995236.61,,
1966,China,10.65,76720285969.62,,,,,76720285969.62,,
1966,World,5.72,2160633278615.57,5.66,,,,2152904296367.43,,
1967,Germany,,,4.08,5037954037.29,2388.41,,,,
1967,France,4.92,118972977486.21,4.30,4918985395.88,2248.08,,119728973065.97,,
1967,Italy,7.18,81133120065.42,2.77,1928786564.47,1551.52,,81443074752.18,,
1967,Japan,11.08,123781880217.60,0.84,1039027777.78,1735.12,,123005013560.89,,
1967,Canada,3.09,65668655501.13,2.75,1775500366.18,5557.29,,,,
1967,Russian Federation,,,,,,,,,
1967,United States,2.50,861700000000.00,9.42,78398442240.52,6809.82,,867100000000.00,,
1967,United Kingdom,2.79,113116888210.79,6.24,6933197077.38,3345.55,,,,
1967,Brazil,4.20,31086389194.96,2.86,746139163.63,,,29559163247.67,,
1967,India,7.83,50134942203.45,3.22,1487733333.33,,7.88,49790942203.45,,
1967,Mexico,5.85,26560000000.00,0.55,133600000.00,,7.96,26201208000.00,,
1967,South Africa,7.20,13777394494.83,2.79,373099850.76,,7.43,13327994674.40,,
1967,China,-5.77,72881631326.67,,,,,72881631326.67,,
1967,World,4.16,2298979948006.62,6.11,,,,2294157470376.52,,
1968,Germany,,,3.41,4544109352.21,2561.52,,,,
1968,France,4.49,129785441507.46,4.14,5148997849.39,2359.88,,130424516856.95,,
1968,Italy,6.54,87942231678.35,2.65,1991165044.33,1698.43,,88326648581.68,,
1968,Japan,12.88,146601072685.51,0.79,1168194444.44,1939.42,,145604342943.29,,
1968,Canada,5.00,71829810519.90,2.54,1797265817.15,5871.52,,,,
1968,Russian Federation,,,,,,,,,
1968,United States,4.80,942500000000.00,9.27,84329031218.25,7073.48,,948600000000.00,,
1968,United Kingdom,5.44,107759910067.89,5.94,6220499923.08,3406.14,,,,
1968,Brazil,9.80,33930457425.26,2.65,755307566.68,,,33065704447.87,,
1968,India,3.39,53085455870.82,3.25,1586866666.67,,3.41,52745455870.82,,
1968,Mexico,9.42,29360000000.00,0.55,148800000.00,,9.33,28939512000.00,,
1968,South Africa,4.15,14894594048.42,2.76,399699840.12,,3.95,14377994254.84,,
1968,China,-4.10,70846535055.65,,,,,70846535055.65,,
1968,World,5.95,2481354510516.72,6.00,,,,2496043973410.77,,
1969,Germany,,,3.40,5150518690.86,2772.01,,,,
1969,France,7.11,141903068680.31,3.68,4964005293.98,2536.67,,142381694448.16,,
1969,Italy,6.10,97085082807.38,2.42,2003805617.34,1832.50,,97575749223.21,,
1969,Japan,12.48,172204199480.89,0.77,1335416666.67,2214.06,,171075803545.60,,
1969,Canada,5.05,79148411661.69,2.27,1770108751.17,6091.10,,,,
1969,Russian Federation,,,,,,,,,
1969,United States,3.10,1019900000000.00,8.63,84990165430.77,7332.37,,1026000000000.00,,
1969,United Kingdom,1.92,116464702803.22,5.50,6199702306.86,3557.13,,,,
1969,Brazil,9.50,37171640818.59,2.62,816622811.00,,,36783720975.77,,
